x,t,T
0.391,3101.0,12.599472179982865
0.551,294.0,0.6416077079716708
0.487,3320.0,12.102547517587833
0.927,1116.0,2.3964890757056065
0.082,3087.0,17.644711071153324
0.446,963.0,3.4206093639364257
0.325,2097.0,9.54403150477044
0.127,2630.0,14.919311703291251
0.253,809.0,4.324611407947566
0.075,3573.0,19.674177478870483
0.856,2789.0,6.817073091296302
0.048,481.0,5.195135871888431
0.357,1143.0,4.9348976143742656
0.46900000000000003,2144.0,8.061453523736214
0.096,1961.0,12.532915839830123
0.633,2622.0,8.181883316060933
0.291,1152.0,5.666059541765762
0.47000000000000003,3056.0,11.405308753423258
0.844,1145.0,2.60279439125848
0.263,405.0,1.947691918272077
0.902,2165.0,4.971073331790862
0.587,1078.0,3.130191184831017
0.301,184.0,0.569080184001068
0.126,2295.0,13.49544466728607
0.5,1717.0,6.112669243325586
0.723,515.0,1.1109273572902236
0.07100000000000001,2167.0,13.949985004539162
0.621,3396.0,10.746019621987685
0.269,1043.0,5.37321114470207
0.456,1760.0,6.674163400161922
0.28,2933.0,13.581272229553711
0.964,986.0,2.062679489099307
0.68,511.0,1.1251504718375582
0.798,3259.0,8.530597952765085
0.196,1130.0,6.769688941800543
0.305,3200.0,14.216898091163015
0.031,3149.0,18.911015597837384
0.058,693.0,6.466637395400398
0.9410000000000001,563.0,1.1647436925469261
0.46,2187.0,8.320827681211613
0.611,3030.0,9.708905505999772
0.788,2132.0,5.526774955300025
0.181,1442.0,8.586862826713789
0.716,1903.0,5.268043829288687
0.18,2620.0,13.941075015754548
0.199,1976.0,10.832182320824328
0.636,2785.0,8.677354568705566
0.114,744.0,5.821970255014429
0.771,306.0,0.6316733633593994
0.591,135.0,0.2779128923715527
0.079,855.0,7.093493861067886
0.907,888.0,1.893885479357535
0.796,3096.0,8.11643191659274
0.341,2050.0,9.14006282910941
0.182,2585.0,13.760752784697843
0.20500000000000002,1134.0,6.663503861154858
0.989,1874.0,3.9002741341379235
0.336,3564.0,15.071532642724241
0.183,1927.0,10.865603076174398
0.937,101.0,0.20774946080063394
0.432,2529.0,9.944016602355411
0.223,2699.0,13.550376033304508
0.512,3556.0,12.568267505036012
0.044,2513.0,16.009850880701762
0.871,2557.0,6.125110903350134
0.725,3501.0,9.920203494955656
0.683,1763.0,5.011455749329709
0.714,559.0,1.225359457886814
0.151,3346.0,17.361190423955374
0.8250000000000001,285.0,0.5868210937701103
